类别,均值,标准差,中位数,样本数
Class 0,61.262316048457194,9.811094598187168,59.927361911309745,3418
Class 1,54.07256412215277,9.37655992703942,51.2913150910966,6648
Class 2,53.10595693233834,9.224874074571874,50.9325,6944
