,precision,recall,f1-score,support
0,0.480225988700565,0.49707602339181284,0.4885057471264368,684.0
1,0.6590389016018307,0.6501128668171557,0.6545454545454545,1329.0
2,0.7266811279826464,0.7235421166306696,0.7251082251082251,1389.0
accuracy,0.6493239271017048,0.6493239271017048,0.6493239271017048,0.6493239271017048
macro avg,0.621982006095014,0.6235770022798794,0.6227198089267055,3402.0
weighted avg,0.6507046923186113,0.6493239271017048,0.6499718297474182,3402.0
