类别,均值,标准差,中位数,样本数
Class 0,111.09929558637594,9.03829189393462,111.58351562499999,3418
Class 1,99.73827917323933,12.976673882203606,100.2751171875,6648
Class 2,102.19447708017519,8.66674039080821,102.761328125,6944
