类别,均值,标准差,中位数,样本数
Class 0,1.133987076587998,0.32367943802866245,1.035625,3418
Class 1,1.623931924705843,0.4994196096305647,1.608,6648
Class 2,1.5862435331861238,0.6143002878674172,1.5141,6944
