Model,FPR,TPR,AUC
Logistic Regression,0.0,0.0,0.8518282204920784
Logistic Regression,0.0,0.00029394473838918284,0.8518282204920784
Logistic Regression,0.0,0.102880658436214,0.8518282204920784
Logistic Regression,0.00014697236919459142,0.102880658436214,0.8518282204920784
Logistic Regression,0.00014697236919459142,0.10317460317460317,0.8518282204920784
Logistic Regression,0.0005878894767783657,0.10317460317460317,0.8518282204920784
Logistic Regression,0.0005878894767783657,0.10405643738977072,0.8518282204920784
Logistic Regression,0.00102880658436214,0.10405643738977072,0.8518282204920784
Logistic Regression,0.00102880658436214,0.10464432686654909,0.8518282204920784
Logistic Regression,0.0013227513227513227,0.10464432686654909,0.8518282204920784
Logistic Regression,0.0013227513227513227,0.11169900058788948,0.8518282204920784
Logistic Regression,0.0014697236919459142,0.11169900058788948,0.8518282204920784
Logistic Regression,0.0014697236919459142,0.11346266901822458,0.8518282204920784
Logistic Regression,0.0016166960611405056,0.11346266901822458,0.8518282204920784
Logistic Regression,0.0016166960611405056,0.11669606114050558,0.8518282204920784
Logistic Regression,0.001763668430335097,0.11669606114050558,0.8518282204920784
Logistic Regression,0.001763668430335097,0.12169312169312169,0.8518282204920784
Logistic Regression,0.0019106407995296885,0.12169312169312169,0.8518282204920784
Logistic Regression,0.0019106407995296885,0.12375073486184597,0.8518282204920784
Logistic Regression,0.00205761316872428,0.12375073486184597,0.8518282204920784
Logistic Regression,0.00205761316872428,0.12874779541446207,0.8518282204920784
Logistic Regression,0.002204585537918871,0.12874779541446207,0.8518282204920784
Logistic Regression,0.002204585537918871,0.13403880070546736,0.8518282204920784
Logistic Regression,0.0023515579071134627,0.13403880070546736,0.8518282204920784
Logistic Regression,0.0023515579071134627,0.13639035861258084,0.8518282204920784
Logistic Regression,0.0024985302763080542,0.13639035861258084,0.8518282204920784
Logistic Regression,0.0024985302763080542,0.13668430335097,0.8518282204920784
Logistic Regression,0.0026455026455026454,0.13668430335097,0.8518282204920784
Logistic Regression,0.0026455026455026454,0.1405055849500294,0.8518282204920784
Logistic Regression,0.002792475014697237,0.1405055849500294,0.8518282204920784
Logistic Regression,0.002792475014697237,0.14138741916519695,0.8518282204920784
Logistic Regression,0.0029394473838918285,0.14138741916519695,0.8518282204920784
Logistic Regression,0.0029394473838918285,0.14344503233392122,0.8518282204920784
Logistic Regression,0.0030864197530864196,0.14344503233392122,0.8518282204920784
Logistic Regression,0.0030864197530864196,0.14667842445620224,0.8518282204920784
Logistic Regression,0.003233392122281011,0.14667842445620224,0.8518282204920784
Logistic Regression,0.003233392122281011,0.14697236919459142,0.8518282204920784
Logistic Regression,0.0033803644914756027,0.14697236919459142,0.8518282204920784
Logistic Regression,0.0033803644914756027,0.14873603762492651,0.8518282204920784
Logistic Regression,0.003527336860670194,0.14873603762492651,0.8518282204920784
Logistic Regression,0.003527336860670194,0.1522633744855967,0.8518282204920784
Logistic Regression,0.003968253968253968,0.1522633744855967,0.8518282204920784
Logistic Regression,0.003968253968253968,0.15255731922398588,0.8518282204920784
Logistic Regression,0.005731922398589065,0.15255731922398588,0.8518282204920784
Logistic Regression,0.005731922398589065,0.15285126396237508,0.8518282204920784
Logistic Regression,0.006025867136978248,0.15285126396237508,0.8518282204920784
Logistic Regression,0.006025867136978248,0.15314520870076426,0.8518282204920784
Logistic Regression,0.006319811875367431,0.15314520870076426,0.8518282204920784
