,precision,recall,f1-score,support
0,0.938375350140056,0.97953216374269,0.9585121602288984,684.0
1,0.9878731343283582,0.7968397291196389,0.8821324448146606,1329.0
2,0.8551980198019802,0.9949604031677466,0.9198003327787022,1389.0
accuracy,0.9144620811287478,0.9144620811287478,0.9144620811287478,0.9144620811287478
macro avg,0.9271488347567981,0.923777432010025,0.9201483126074205,3402.0
weighted avg,0.923751376990928,0.9144620811287478,0.9128686064035474,3402.0
