,precision,recall,f1-score,support
0,0.9970845481049563,1.0,0.9985401459854014,684.0
1,0.9984894259818731,0.9947328818660647,0.996607614021862,1329.0
2,0.9964080459770115,0.9985601151907847,0.997482919813017,1389.0
accuracy,0.9973544973544973,0.9973544973544973,0.9973544973544973,0.9973544973544973
macro avg,0.9973273400212802,0.9977643323522831,0.9975435599400936,3402.0
weighted avg,0.9973571586995204,0.9973544973544973,0.9973535433595971,3402.0
