,precision,recall,f1-score,support
0,0.9985380116959064,0.9985380116959064,0.9985380116959064,684.0
1,0.9954921111945906,0.9969902182091799,0.9962406015037594,1329.0
2,0.9978370583994232,0.9964002879769619,0.9971181556195965,1389.0
accuracy,0.9970605526161082,0.9970605526161082,0.9970605526161082,0.9970605526161082
macro avg,0.9972890604299733,0.9973095059606827,0.9972989229397541,3402.0
weighted avg,0.9970619311858934,0.9970605526161082,0.997060810568523,3402.0
