类别,均值,标准差,中位数,样本数
Class 0,5.6633299769195755,0.8532946974121721,5.566183333333335,3418
Class 1,5.005010533660918,1.1238687637755778,4.98333333333333,6648
Class 2,5.122902978590629,1.0537964400484252,5.038,6944
