Feature,Target_Correlation
Tes,0.0902805045017803
SUN (mM),0.14182931772648555
Na (mM),0.198155482025439
Lactate (mM),0.21235448975741625
K (mM),0.22315927954843837
性别,0.2739266544329161
Cortisol,0.27751346695367984
Glucose (uM),0.31086168027560773
NH4 (mM),0.3396275446037683
MDF,0.35452330339739707
