,precision,recall,f1-score,support
0,0.9956268221574344,0.9985380116959064,0.997080291970803,684.0
1,0.9969856819894499,0.9954853273137697,0.9962349397590361,1329.0
2,0.9978401727861771,0.9978401727861771,0.9978401727861771,1389.0
accuracy,0.9970605526161082,0.9970605526161082,0.9970605526161082,0.9970605526161082
macro avg,0.9968175589776872,0.9972878372652844,0.9970518015053388,3402.0
weighted avg,0.9970613514755039,0.9970605526161082,0.9970603041292734,3402.0
