类别,均值,标准差,中位数,样本数
Class 0,11.076588997325088,3.607678378570047,11.82428571428575,3418
Class 1,13.038159987966306,4.0617196633585335,12.98242857142855,6648
Class 2,13.41403110701942,4.045404585489466,13.65,6944
