类别,均值,标准差,中位数,样本数
Class 0,0.294031597425395,0.4556728711072442,0.0,3418
Class 1,0.5675391095066186,0.49545473394167466,1.0,6648
Class 2,0.2917626728110599,0.45460639845335804,0.0,6944
