,precision,recall,f1-score,support
0,0.5012106537530266,0.6052631578947368,0.5483443708609271,684.0
1,0.5434782608695652,0.6583897667419112,0.5954406260632868,1329.0
2,0.7329192546583851,0.509719222462203,0.6012738853503184,1389.0
accuracy,0.5870076425631982,0.5870076425631982,0.5870076425631982,0.5870076425631982
macro avg,0.5925360564269923,0.5911240490329503,0.5816862940915107,3402.0
weighted avg,0.6123267315059433,0.5870076425631982,0.5883531947262124,3402.0
