,precision,recall,f1-score,support
0,0.9941775836972343,0.9985380116959064,0.9963530269876003,684.0
1,0.9977409638554217,0.9969902182091799,0.9973654497553632,1329.0
2,1.0,0.9985601151907847,0.9992795389048992,1389.0
accuracy,0.9979423868312757,0.9979423868312757,0.9979423868312757,0.9979423868312757
macro avg,0.9973061825175519,0.9980294483652904,0.9976660052159542,3402.0
weighted avg,0.997946857205398,0.9979423868312757,0.9979433958622286,3402.0
