,性别,Na (mM),K (mM),Glucose (uM),Lactate (mM),SUN (mM),NH4 (mM),Cortisol,Tes,MDF,MEF
count,17010.0,17010.0,17010.0,17010.0,17010.0,17010.0,17010.0,17010.0,17010.0,17010.0,17010.0
mean,0.4,50.09063039388596,5.185420938990137,55.122678863953894,12.797442727807173,11.927056768606702,1.5100965524789338,65.11489271017048,45.66672839506173,103.02386367446589,102.91284393638654
std,0.48991234948403295,11.845889418844303,1.0739582673328414,9.904501681921547,4.063868276062968,4.724964156541046,0.5553521820042131,23.173141899970737,14.322374637178825,11.422944977609065,10.965929476357088
min,0.0,23.694,2.83,37.08,4.1946,5.51,0.736,24.3,24.24,69.7109375,71.5424780109725
25%,0.0,41.04,4.62,48.55,9.338,7.84,1.03,50.08687499999999,31.80775,94.9374414062498,95.10981116486855
50%,0.0,50.185500000000005,5.126,52.525,13.18,11.344999999999999,1.4021333333333348,60.4615,44.874,104.11453125,104.3318413019525
75%,1.0,58.9685,5.7209,61.2665,16.49,16.4845,1.912,76.4155,57.16,111.039165625,110.978599469556
max,1.0,78.93,8.17222222222222,90.264,21.77,21.375,3.17513333333333,128.5,79.3,125.9436,123.638326323261
