类别,均值,标准差,中位数,样本数
Class 0,45.26844212990052,15.038240895621858,44.823,3418
Class 1,44.245435709987966,13.086990666890399,45.652699999999996,6648
Class 2,47.22348188364055,14.927380297037322,43.4555,6944
