类别,均值,标准差,中位数,样本数
Class 0,54.77139340745075,11.89346414865617,55.57,3418
Class 1,50.24024503610108,11.302852140546195,49.426,6648
Class 2,47.6434117703533,11.620984229332358,46.522,6944
