类别,均值,标准差,中位数,样本数
Class 0,54.036378730251606,16.642576445044305,57.22625,3418
Class 1,62.72358897412755,21.4172008561461,59.1275,6648
Class 2,72.8573679435484,24.783598068778375,62.3955,6944
