,precision,recall,f1-score,support
0,0.9605055292259084,0.8888888888888888,0.9233105542900532,684.0
1,0.5817518248175182,0.5996990218209179,0.5905891070766951,1329.0
2,0.6375982844889206,0.6421886249100072,0.6398852223816356,1389.0
accuracy,0.675191064079953,0.675191064079953,0.675191064079953,0.675191064079953
macro avg,0.7266185461774491,0.7102588452066046,0.7179282945827946,3402.0
weighted avg,0.6807048719365414,0.675191064079953,0.6776125562396872,3402.0
