,precision,recall,f1-score,support
0,0.8208722741433022,0.77046783625731,0.7948717948717948,684.0
1,0.7587437544610992,0.799849510910459,0.7787545787545788,1329.0
2,0.8241353936718175,0.8063354931605472,0.8151382823871907,1389.0
accuracy,0.7965902410346855,0.7965902410346855,0.7965902410346855,0.7965902410346855
macro avg,0.8012504740920731,0.7922176134427721,0.7962548853378548,3402.0
weighted avg,0.7979339056446132,0.7965902410346855,0.7968501519967521,3402.0
