类别,均值,标准差,中位数,样本数
Class 0,10.590746149648915,3.4084211208772204,11.74,3418
Class 1,12.145931403429604,4.998082745861489,9.97,6648
Class 2,12.375275536362327,4.8921780172546345,11.6,6944
